Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
QCDR,,,,,HCPR28,,,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) less than or equal to 40% who were prescribed SGLT-2 Inhibitors during their SNF stay or at the time of discharge.,,,,,,,,,,,,,,,
QCDR,,,,,HCPR29,,"8483899, 4757099, 3967247, 1725296",Percentage of patients aged 18 years and older with diagnosis of lower extremity cellulitis that did not have a DVT ultrasound ordered,,,,,,,,,,,,,,,
QCDR,,,,,HCPR30,,"8483899, 3967247, 1725296",,,,,,,,,,,,,,,,
QCDR,,,,,HCPR31,,"8483899, 1718371, 3967247",,,,,,,,,,,,,,,,
QCDR,,,,,HM7,,"7037323, 3471690, 3967247",,,,,,,,,,,,,,,,
QCDR,,,,,MEDNAX55,,"6394618, 5303416",,,,,,,,,,,,,,,,
QCDR,,,,,MSK1,Advancing Musculoskeletal (MSK) Care and Rehabilitation QCDR,"3471690, 7037323, 3967247, 1157686",,,,,,,,,,,,,,,,
QCDR,,,,,MSK10,Advancing Musculoskeletal (MSK) Care and Rehabilitation QCDR,"3471690, 7037323, 3967247, 1157686",,,,,,,,,,,,,,,,
QCDR,,,,,MSK2,Advancing Musculoskeletal (MSK) Care and Rehabilitation QCDR,"3471690, 7037323, 3967247, 1157686",,,,,,,,,,,,,,,,
QCDR,,,,,MSK3,Advancing Musculoskeletal (MSK) Care and Rehabilitation QCDR,"3471690, 7037323, 3967247, 1157686",,,,,,,,,,,,,,,,
QCDR,,,,,MSK4,Advancing Musculoskeletal (MSK) Care and Rehabilitation QCDR,"3471690, 7037323, 3967247, 1157686",,,,,,,,,,,,,,,,
QCDR,,,,,MSK5,Advancing Musculoskeletal (MSK) Care and Rehabilitation QCDR,"3471690, 7037323, 3967247, 1157686",,,,,,,,,,,,,,,,
QCDR,,,,,MSK6,Advancing Musculoskeletal (MSK) Care and Rehabilitation QCDR,"3471690, 7037323, 3967247, 1157686",,,,,,,,,,,,,,,,
QCDR,,,,,MSK7,Advancing Musculoskeletal (MSK) Care and Rehabilitation QCDR,"3471690, 7037323, 3967247, 1157686",,,,,,,,,,,,,,,,
QCDR,,,,,MSK8,Advancing Musculoskeletal (MSK) Care and Rehabilitation QCDR,"3471690, 7037323, 3967247, 1157686",,,,,,,,,,,,,,,,
QCDR,,,,,MSK9,Advancing Musculoskeletal (MSK) Care and Rehabilitation QCDR,"3471690, 7037323, 3967247, 1157686",,,,,,,,,,,,,,,,
QCDR,,,,,PIMSH16,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,PIMSH10,Practice Insights by McKesson in Collaboration with The US Oncology Network - QCDR,,,,,,,,,,,,,,,,,
QCDR,,,,,PQRANES1,,7746687,,,,,,,,,,,,,,,,
QCDR,,,,,QMM17,,"6394618, 5303416, 6704504",,,,,,,,,,,,,,,,
QCDR,,,,,QMM18,,"6394618, 5303416, 6704504",,,,,,,,,,,,,,,,
